'      號
''          的
',         ，
',       ㄝ
'-        ㄦ
'-        ﹏
'-   ﹌
'.            。
'.           ㄡ
'/ ？
'/           ㄥ
'0  ）
'0 ㄢ
'1        ！
'1      ㄅ
'2  ㄉ
'2 ＠
'3  ˇ
'3  ＃
'4         ˋ
'4       ＄
'5     ㄓ
'5   ％
'6            ˊ
'7           ˙
'7            ＆
'8  ㄚ
'8  ＊
'8       ﹡
'8   ∞
'9     （
'9   ㄞ
';   ：
';            ；
';            ㄤ
'=     〒
'[     「
'[[     『
'\     ︴
']           」
']]            』
'`   ～
'a      ㄇ
'b      ㄖ
'c            ㄏ
'd         ㄎ
'e        ㄍ
'f         ㄑ
'g   ㄕ
'h        ㄘ
'i         ㄛ
'j        ㄨ
'k      ㄜ
'l        ㄠ
'm     ㄩ
'n  ㄙ
'o          ㄟ
'p            ㄣ
'q  ㄆ
'r ㄐ
's          ㄋ
't     ㄔ
'u          ㄧ
'v        ㄒ
'w         ㄊ
'x        ㄌ
'y       ㄗ
'z ㄈ
,            力
,,,    劦
,,, 脅
,,,          勰
,,,          姭
,,,  猜猜猜
,,,j        脅
,,,l 姭
,,,z            勰
,,.l 狼狽為奸
,,8   狐狸精
,,f            狠狠地
,,hf       狼狽不堪
,,j 脅
,,l      姭
,,v          猜猜看
,,z          勰
,.       獄
,.,5           狩獵
,.1         獲准許
,.5rw  加州理工學院
,.6       獄門
,.ex          獄吏
,.k        狼
,.ks         獄卒
,.o1     獄中
,.r   狼
,.rk            狼
,.ty            獨資經營
,//     獨樂樂
,//hl    獨樂樂不如眾樂樂
,/0      狿
,/1          猈
,/1a          獨自一人
,/9        狿
,/90          狿
,/c 犰
,/d  猈
,/d          獥
,/d1     猈
,/dx         獥
,/e           加答爾
,/x     獥
,/xe            狗血淋頭
,0 狐
,0,0       逛逛
,0,f       狐狸
,0/.      狐臭
,0/i 狐魅
,01   犯錯誤
,0a      加鉛條
,0aw      狐仙
,0c9  狐疑
,0ej           逛街
,0l3         狐媚
,0ss          迦南
,0ta           迦納
,1      狺
,1    獅
,1, 猜一猜
,1,          逛一逛
,1,1     狒狒
,1,1       狺狺
,1.          獄
,122         獨一無二
,15      獅王
,15q          狎玩
,15u    狎弄
,1bg  獅子
,1e        獲許可
,1e8  獅頭
,1h        鸑
,1lx  狎妓
,1mo          狎客
,1oc         獅吼
,1r   獀
,1rp  狎邪
,1t1          狂言綺語
,1v           獄
,1v            鸑
,1v.   獄
,1vh     鸑
,1w     獀
,1wx         獀
,1x 獀
,2/           獨特的
,26            賀年片
,29      賀年卡
,2b      獨生子
,2bj            猴年馬月
,2c           犵
,2e            狌
,2l  獨生女
,2m   猘
,2mn    猘
,2n   猘
,2o         賀年咭
,31i          獨具一格
,33    玃
,33x            玃
,38         狽
,3f3        獨具慧眼
,3k      獨眼龍
,3o3  獨具只眼
,3x    玃
,4;      獨
,4b   獨
,4b;          獨
,4e           獧
,4e.            犯罪行為
,4ek     獧
,4f           玀
,4k   獧
,4kaw           犯罪社會學
,4o    力點
,4t     玀
,4tf    玀
,4w  犯罪學
,4z5w     犯罪心理學
,5  狂
,5            狅
,5,j         狂狷
,5,o       獵狗
,5,x   獵獲
,5.x           狂放
,5/a   狂笑
,5/d          狂簡
,50   逛
,51         狂言
,51o 狂話
,52/   獵物
,522 狂舞
,56k            獵裝
,59    獅球路
,59v       狂跌
,5;z        狂態
,5a        狂人
,5a       獵人
,5aa        狂飲
,5ao 加班人員
,5ax     狂傲
,5ch  獵鷹
,5dx         狂暴
,5en        獵到
,5fc           獵艷
,5fo         狂喜
,5fy    狂熱
,5gx    狂搜
,5h     鵟
,5h           獵鳥
,5h     獵戶
,5io           獵槍
,5iz   狂想
,5jc           狂亂
,5kl        狂妄
,5lz        狂怒
,5no          獵名
,5o. 狂吠
,5o6    狂嘯
,5px       獵取
,5q;           狂風
,5r          加班費
,5ua  狂歡
,5v.          獵犬
,5v;    狂飆
,5vj          獵奇
,5vu      狂奔
,5x3   加班津貼
,5x4 狂瀾
,5xj            狂潮
,5xt    獵涉
,6.      猼
,61   獑
,66     獨輪車
,69e        獨闢蹊徑
,6f       力壯
,6g    猼
,6g 狙擊手
,6g.          猼
,6h            獑
,6h1 獑
,6kk         駕輕就熟
,7 貓
,7.        獲恩准
,79a          力圖上進
,7e        猥
,7ek           猥
,7ga       力圖振作
,7k      猥
,7o    力圖
,8            賀
,8/3      猶自
,81o 賀詞
,822      賀年
,88          猶
,895        賀歲
,899 賀卡
,8a5            賀儀
,8ac            猶他
,8ao            獷俗
,8b,        猶豫
,8bw     賀函
,8c9          猶疑
,8ej 猶可
,8fk      賀表
,8fo           賀喜
,8k1          猶新
,8ku      賀禮
,8lo       猶如
,8mc    賀電
,8mo  賀客
,8mo 賀帖
,8sj  猶有
,8uo    猶若
,8v.  猶太
,8x         獙
,8zs          獷悍
,95          獩
,9b,        加足馬力
,9h       獩
,9h5        獩
,9ix           狹路相逢
,9m         獲肯定
,;          獨
,;,            獨力
,;.8    獨資
,;/3       獨自
,;/d          獨白
,;2.   獨特
,;2a        獨缺
,;38            獨具
,;3k  獨眼
,;8       狻
,;8e      獨醒
,;8x       狻
,;9t    獨步
,;aa 獨飲
,;af 獨坐
,;an    獨創
,;ao     獨佔
,;bg           獨子
,;cq       獨處
,;e.         獨得
,;ej          獨行
,;en 獨到
,;f5            獨裁
,;gq    獨攬
,;ho 獨居
,;id          獨棟
,;k 獨立
,;m,      獨家
,;mj        獨霸
,;nx  加以解決
,;od 獨唱
,;p     獨身
,;q 狁
,;sj  獨有
,;t1          獨斷
,;uo  獨善
,;v  獨夫
,;va         獨奏
,;vo        獨吞
,;x     狻
,;x;       狂蜂浪蝶
,;xj            獨清
,;xm   猛以濟寬
,a       狹
,a.         狑
,a.   猶他州
,a1/           加人一等
,a4         獪
,a4d          獪
,a8o   狹谷
,a9      力促
,a9    加仁路
,a9o    狹路
,aa           獫
,aaf            狗仗人勢
,ab      狑
,ab     犯傻了
,ab.   狑
,ach     狐假虎威
,ad       獪
,aeyu         加值型營業稅
,afe    獨佔鰲頭
,ah2          力保不失
,ai      狳
,ai  力保
,ajb           加值服務
,am3        狹窄
,ao        猞
,ao     獊
,ao       獫
,aoa      獫
,apk   狹長
,apu    狹隘
,ar  猴
,ar 獊
,aro 獊
,arv  猴
,as      猞
,aso   猞
,at          狹小
,at0   狹縫
,at9            加值網路
,au5        狹義
,av     猴
,av        加值稅
,av  加拿大
,av.m       加拿大航空
,ava            加拿大人
,az          獨創性
,b      駕
,b,      猱
,b,   獝
,b,     獅子狗
,b,i     猱
,b,o   獝
,b6 駕車
,ba         獅子會
,ba       駕駛人
,bbx   駕駛
,bbx           駕馭
,bc       犯
,bc      獅子座
,bdy       駕照
,bdz            狼子野心
,be        獅子頭
,be  獲通融
,ben     駕到
,bep      駕御
,bf     狃
,bf    峱
,bf       駕駛者
,bfd            駕駛執照
,bfw         峱
,bg  猛
,bg         猻
,bgn   獅子搏兔
,bgt         猻
,bgu    猛
,bhx       猶豫不決
,bi     猱
,bi5          駕機
,bm  駕駛室
,bm          獲通過
,bo        狗
,bo  獝
,bo      駕駛員
,bo    獅子吼
,bpk      駕長
,bro        駕臨
,bt    猻
,bt    獅子鄉
,bu 猛
,bw     峱
,bw          獅子山
,bwj 駕崩
,c            犯
,c,i     犰狳
,c/           犰
,c0d   犯錯
,c12 犯諱
,c43      犯罪
,c8   獷
,c8    力氣
,c9e            犯上
,ca       犯人
,cax           犯傻
,cc          狴
,cc9            犯疑
,cca     犯病
,ccf     狴
,ce5          犯戒
,ce8      力疾從公
,ce9      犯下
,cf       狴
,cf        犯土
,cit        犯禁
,ckm          猗頓之富
,ckz   犯意
,cmi   犯案
,cq     猇
,crz 犯忌
,cs            獷
,cs8   獷
,csf        犯難
,ctc          犯紀
,cvs        犯科
,cvz      犯愁
,cx  力度
,cx;       犯法
,cz   猜疑心
,d     豬
,d,5           猖狂
,d,a 猖獗
,d0       加盟金
,d1       狎
,d2         猩
,d2e    猩
,d4 獌
,d4           加盟點
,d4x    獌
,d7o  獅甲國中
,d7ro      獅甲國民中學
,d9 加昌路
,db        猲
,dbl 猲
,dc 猑
,dc   加盟店
,dcc    猑
,dd            猖
,de         猩
,de      狚
,df            狸
,df         力量
,df            加盟者
,di  猓
,dk   加盟商
,dl          猲
,dsv7   加盟共和國
,dx         獌
,e   狙
,e,/          加爾加答
,e,e          猩猩
,e,i    獨往獨來
,e.           力求
,e.    獵頭族
,e.1         獲得准許
,e1e          獲得許可
,e1n            獲得諒解
,e5    狨
,e5  力戒
,e6g 狙擊
,e7.   獲得恩准
,e8      獮
,e8x       獮
,e9  力行路
,e91h    力行路一段
,e92h     力行路二段
,e9a   力求上進
,ea 獨行俠
,eb      獲得了
,ebe           獲得通融
,ebm 獲得通過
,ed      狟
,ede     狟
,ee           狟
,ee    狋
,ee 力行街
,eet     狋
,eg.   獲得批准
,ega  力求振作
,egk            獲得批文
,eh2        力求不失
,ej 力行
,ekc  獨到之處
,ekto          力行高級中學
,emh      狗頭軍師
,emk   獲得同意
,enx     獲得解決
,eow 力行中學
,ep      狄更斯
,es     犴
,es   狨
,es5           狨
,et     狋
,et         獅頭鄉
,etr         猩紅
,eu 賀爾蒙
,ew            獅頭山
,ew3      獐頭鼠目
,ex         獮
,ex         力役
,ex/   加爾各答
,exf   加德滿都
,f    狸
,f,3 狂喜狂悲
,f/ 力場
,fbd          狃習
,fc      狫
,fd    豬
,fe     獨裁式
,fet 獨裁專斷
,ff          獟
,ff        獨裁者
,ffq  獟
,fg;     力士捉蠅
,fi   加起來
,fj    猜
,fj7           狸貓
,fk     猿
,fk6          獨賣新聞
,fn            猰
,fnv         猰
,fo         猿
,fo          狤
,fo          加熱器
,fo    加載中
,fok            猿
,fq      獟
,fv      猰
,g,x 力挽狂瀾
,g/1     力排眾議
,g/1           獨排眾議
,g1   狾
,g71          獨持異議
,g; 力擒
,ge      加把勁
,gh            狾
,gh1        狾
,gj           力打
,go         力搶
,gu          力拚
,guc      狼披羊皮
,gvh    獨撐大局
,gvi      獨挑大樑
,gwx       力拔山河
,gxw 力拔河山
,h/         獂
,h/p      猝不及防
,h/t 獂
,h0            狐
,h1  獅
,h1/     脅肩諂笑
,h3      獿
,h3x       獿
,h5x  駕返瑤池
,h9  狉
,h9           力不足
,h9e         狉
,h;   狐
,h;0     狐
,ha          獗
,hc   狔
,hdc  獵戶星座
,he           狉
,he  猳
,heh.     力不到不為財
,hex     猳
,hez        力不從心
,hhb    狗屁不通
,hj   猏
,hj      獶
,hjx   獶
,hm     猵
,hmi    狗屎運來
,hmu    猵
,hq         加頁碼
,hr           獅
,hr1          獅
,ht        獂
,htj    狗尾續貂
,hu       猵
,hu      獗
,hu   犯不著
,hu     猜不著
,hua      獗
,hv 猜不透
,hx            猳
,hx 獶
,hx        獿
,i         架
,i,e           獨來獨往
,i.    獨木舟
,i.a  架次
,i1i        獨樹一格
,i1m 獨樹一幟
,i1x   架設
,i6u            架開
,i7          狂想曲
,i8       獺
,i9e  架上
,iaf 架住
,ibg   架子
,ic   加速度
,ie5          架式
,if,           架勢
,if9  架走
,ifc     架起
,igd     加權指數
,ihf  架屋
,ihhi       獨木不成林
,ii           獨木橋
,iif   架構
,iio    架橋
,ikf           猱雜
,imr     架空
,io       獺
,io          加速器
,io8            獺
,iss    獨木難支
,iud  架著
,j            猜
,j,j      猙獰
,j,j 猜猜
,j,t         猢猻
,j/0  脅迫
,j/a 獰笑
,j0d            猜錯
,j10     猜謎
,j2 猺
,j2n       脅制
,j2w           猺
,j6v       猜獎
,j9x        力爭上游
,jb      狗腿子
,jc       獨腳戲
,jc9 猜疑
,jcx      猜度
,je            狙
,je0      脅逼
,je8  猾頭
,je9    脅從
,jec           力爭到底
,jen       猜到
,jex    猾吏
,jiz            猜想
,jj            猙
,jj      力爭
,jnz     狷急
,jnz   猜忍
,jo1            猜中
,jqx      猜破
,jr         猙
,jrj         猙
,jrz     猜忌
,ju.    猜對
,jug       猜拳
,jw 猺
,jww            猜出
,jxn 猜測
,k    狼
,k,8           狼狽
,k,k 狠狠
,k,o           狼狗
,k,v    猿猴
,k/d      狼籍
,k1o          狠話
,k22    狂妄無知
,k35 猥賤
,k58           猥瑣
,k7 獨立國
,k8       狡
,k8k 獨立精神
,k8x        狡
,k9            犿
,ka         猝
,ka          狼人
,ka    猿人
,kap            狠命
,kas        猝
,kco       狼瘡
,kd   獐
,kd 獍
,kd            獞
,kdf       獞
,kdq       獍
,kds         獐
,ke.  猥褻行為
,kf      獞
,kf.       狠毒
,kfo       力竭聲嘶
,kg0      狠抓
,kh.  狠戾
,ki/            獨立核算
,kk 獽
,kkc            狼毫
,kkf           猥雜
,kkk 猥褻
,km1     獨立宣言
,ko      獽
,ko1         猿啼
,kok           獽
,kq          犺
,kq        獍
,ks   獐
,ks       猝
,ks1           犯顏直諫
,kt      加旁線
,kud  狼藉
,kv.         狼犬
,kx   狡
,kxk   袈裟
,kyf       狼煙
,kz           狠心
,kz           獨立性
,l4        獵
,l5      獵
,l7     獵
,l75     獵
,ld       獵
,m        ，
,m.         狩
,m/6      賀客盈門
,m1 獳
,m1.         獨霸一方
,m8            狖
,me            狪
,me        狦
,me,  加甯街
,mej           加官晉爵
,meo     狪
